what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1607802829733
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1607802829734
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1607802829734
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1607802829735
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1607802829735
os,sysinfo,,,"win32",1607802829736
arch,sysinfo,,,"x86",1607802829736
ws,sysinfo,,,"win32",1607802829736
locale,sysinfo,,,"en_US",1607802829736
processors,sysinfo,,,"8",1607802829736
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1607802829737
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1607802829737
java.specification.name,sysinfo,,,"Java Platform API Specification",1607802829737
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607802829737
java.specification.version,sysinfo,,,"1.6",1607802829737
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1607802829737
java.version,sysinfo,,,"1.6.0_23",1607802829737
java.vm.info,sysinfo,,,"mixed mode",1607802829737
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1607802829737
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1607802829737
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607802829737
java.vm.specification.version,sysinfo,,,"1.0",1607802829737
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607802829737
java.vm.version,sysinfo,,,"19.0-b09",1607802829737
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607802831984
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607802832423
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1607802832475
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1607802833874
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1607802833903
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1607802833906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607802839546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607802841240
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1607802841327
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607802841412
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1607802841703
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1607802841704
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1607802841705
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1607802841705
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1607802841706
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1607802841707
