what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1607803282060
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1607803282064
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1607803282072
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1607803282074
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1607803282075
os,sysinfo,,,"win32",1607803282086
arch,sysinfo,,,"x86",1607803282086
ws,sysinfo,,,"win32",1607803282086
locale,sysinfo,,,"en_US",1607803282086
processors,sysinfo,,,"8",1607803282086
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1607803282086
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1607803282086
java.specification.name,sysinfo,,,"Java Platform API Specification",1607803282086
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607803282086
java.specification.version,sysinfo,,,"1.6",1607803282086
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1607803282086
java.version,sysinfo,,,"1.6.0_23",1607803282087
java.vm.info,sysinfo,,,"mixed mode",1607803282087
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1607803282087
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1607803282087
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607803282087
java.vm.specification.version,sysinfo,,,"1.0",1607803282087
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607803282087
java.vm.version,sysinfo,,,"19.0-b09",1607803282087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803284752
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607803286591
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607803286728
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1607803286780
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1607803292392
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1607803292420
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1607803292423
