what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608189361521
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608189363085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608189369829
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608189370738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189372415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189373009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189379518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189397954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189417131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189421301
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608189421833
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608189425465
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608189525409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608189536462
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608189577164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189578745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189579333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189582896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189601216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189604810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189609007
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608189609555
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608189613196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189637998
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608189638907
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608189638907
