what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1607803765119
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607803765119
java.vm.version,sysinfo,,,"19.0-b09",1607803765119
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607803767039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803767969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803787618
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607803789621
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1607803789692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803790816
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607803793649
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1607803793669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803793768
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1607803793782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1607803793782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803796029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803798063
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1607803798077
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1607803798077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803799433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803800750
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607803800872
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1607803801162
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1607803801163
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1607803801163
